,PopRatio,KC,LC,aKC,Prol_KC,Diff_KC,preDiff_KC,pDC,iDC,M1,M2,Neutrophil,Th0,Th1,Th17,Th22,Treg,Fibroblast,ILC3,LL37_Nucl,IL22,IL17,IFNg,IL23,IL12,IFNa,CCL20,TNFa,CXCL8,IL6,IL36,IL19,IL1b,TGFb,CD109,IL10,KGF,AMPs,LXs,PGE2,LTB4,BLT1,ALX,EP4,EP2,TLR7,TLR4,IL22R,IL17R,IFNGR,IFNAR,IL23R,IL12R,TNFAR,TGFBR,IL6R,IL10R,IL1R,CCR6,CXCR2,IL19R,IL1RL2,KGFR,RORgamma,STAT3,Tbet,AhR,NFKBIZ,FOXP3,NFKB1_Rela,NFKB1_hd,TYK2,STAT1,IRF7,TRAF3IP2,CEBPB,CREB1,CTLA4,CD28,CD80,Trigger,Division,Death
45,0.9966363770204418,0.5431492550700756,0.7128534008323554,0.9999999999999657,0.8727761420103078,0.029698472787399396,0.017704860267955626,0.95735976365518,0.9656044453374192,0.5310758394005689,0.0,0.5442549569763788,0.2058325256060049,0.005640718493464058,0.004387970598468748,0.002932681997296668,0.7868480152387917,0.23689414094334868,0.07091682246496976,0.99323285642617,0.42069426495467205,0.4269765190819799,0.001521620334064451,0.8966327880995627,0.8695608133202452,0.7044924622623542,0.21709709722931791,0.9080803498011285,0.9969642408364282,0.8884505416850988,0.7217124894945272,0.6341509493069429,0.8927460455580073,0.4178758571178911,0.6274409534136092,0.016756508795592782,0.0451187714206597,0.7226683482826085,0.0,0.7732888908648381,0.7188853011823118,0.34673796455589373,0.0,0.4443581775917085,0.4394389940156765,0.9596467027578904,0.4255570297432156,0.14450776309044414,0.13560914685791392,0.0,0.4434997981388097,0.1145603314710016,0.2345520356593055,0.6880902343527474,0.048550168554251434,0.671046810421764,6.666666666666667e-05,0.6820185432015625,0.019579321245065135,0.9684456080777711,0.2375296238365553,0.36690779343555213,0.0002622460039347976,0.09090585374552891,0.4454557194869215,0.19875806735402532,0.06487694557425276,0.3220024829523562,0.03260897199296453,0.9653232613836381,0.0,0.5186058502470264,0.38295948123871626,0.9528645419560399,0.0637138128971012,0.11760831968774174,0.5568024345712593,0.026934524889385955,0.6818003026353499,0.8819942246121878,0.9999999999999657,0.001021135293124144,0.0014788772879898006
46,0.9961801746970348,0.5404132992235556,0.7106617267497409,0.9999999999999618,0.8836596988125941,0.030193326132723387,0.018581700120575435,0.9599375585321793,0.9674512643948091,0.5449431763271698,0.0,0.5510130019417148,0.21870980631123332,0.007492192958783125,0.005523435969030186,0.0033399245541840803,0.7845443359411263,0.27069172634466,0.08651448630461321,0.9937637343036521,0.434030251103059,0.43909727425010525,0.00202811989018161,0.9032321128535834,0.881830704021704,0.7030263177657222,0.23818339059801957,0.9106493968825576,0.9970635161595874,0.8938984416903186,0.7446818166599616,0.6596754894080026,0.8977652107761714,0.43172802802202287,0.6554101508512787,0.01650942888841227,0.0541377435471,0.7458510054786168,0.0,0.7890482531369309,0.739958984623996,0.37939957995853973,0.0,0.47403700795949705,0.46481078055575276,0.9622374773434055,0.46390858516950884,0.15721123283015287,0.15142075145049613,0.0,0.454869206073603,0.13521097088826123,0.2689214537986414,0.7058540656148578,0.047565184268492294,0.6888541902917504,0.000307531292570337,0.7002743414699082,0.023788374201448817,0.9697202238425847,0.2714968723229823,0.39781758734445855,0.00044710576271157217,0.10940294774168584,0.4762729886408619,0.23181836176316659,0.08017250374898363,0.35711418141503953,0.03155547737464724,0.9669054722948042,0.0,0.5506129743920287,0.3983205928354838,0.9555261655428321,0.07278482966925144,0.13217648495068895,0.5889599014680614,0.028490176013380393,0.6973112568575542,0.889344297523285,0.9999999999999618,0.0018141870125726184,0.0014346902464429706
47,0.9965582218517761,0.5448725346650649,0.7152500486369325,0.9999999999999666,0.8987691507143674,0.030820061206498908,0.02074991768211066,0.967121387542061,0.973223110228083,0.5590222956191075,5.2492397138764553e-05,0.5667308140866252,0.2270552548433778,0.008691761130051335,0.006510279486313013,0.0036649259033279024,0.7873814586052911,0.29953451287988936,0.100535738542406,0.9963040155854386,0.453271531866595,0.46087839364459887,0.002888924616358385,0.9139828607241629,0.894402307271767,0.7112782586492712,0.2625146395548434,0.916722254636328,0.9973414191675304,0.9060595264000633,0.7689026347431076,0.6799611737267199,0.9067947399966203,0.44690948512383366,0.6810338091176936,0.01678981923719456,0.06535243356907143,0.7682724674677368,0.0,0.8061809016138286,0.7607479870416919,0.41092012546064266,0.0,0.5032035308769767,0.4978501281268779,0.9695165004908433,0.4982875108177931,0.17646855338507542,0.16769846412003012,0.0,0.4686583113160484,0.15403994882237065,0.2973497752203663,0.7192114319155276,0.04768099426345907,0.7162874625500655,0.0002,0.7199884097524794,0.02985095162144312,0.9746352139440199,0.3003705891502031,0.42508669398945725,0.0005925140367824046,0.12477307882788408,0.5049960891147637,0.25845478593118343,0.09525241837768397,0.3811000501575009,0.03126160369811826,0.9717924668956803,0.0,0.5771882654358993,0.4134890516229312,0.9639060109017195,0.08369789836644666,0.14675492221108083,0.6211082806566893,0.029195371265446697,0.7204158129332886,0.9038208875034185,0.9999999999999666,0.0014394076336127078,0.0015163575110650515
48,0.9964150996039073,0.5413258728571699,0.7143517655123017,0.9999999999999729,0.9178105596291743,0.028190225048606212,0.022586012243538813,0.9718371427530318,0.9781448446070771,0.5699224093609727,0.0,0.5799303400232092,0.24946867525305774,0.011288940425069834,0.009032500482264744,0.004770086886722953,0.7869677718888832,0.33017606768049157,0.12212549019183054,0.9964730262232562,0.46840700442893274,0.4860612350291018,0.004003466280711684,0.9241077503747405,0.9037696233769994,0.7143992137907088,0.2890785896708281,0.9295627048497215,0.9975772820199066,0.9188777281274727,0.7921375165961635,0.7127919001634905,0.9187553352113528,0.45600157193844765,0.7129837251007158,0.016831238983357585,0.08151519396980626,0.7896301648299983,0.0,0.8269864333303796,0.7872663392776315,0.451666780189544,0.0,0.5407048005809004,0.5276385428338303,0.9745953695099663,0.5322192808022179,0.19797032799316935,0.18890590717772532,0.0,0.4762050537795774,0.18130633023791096,0.32815617674362496,0.7464177892852857,0.0456729245000834,0.7434516203875865,5.189715968352644e-05,0.7400653398684511,0.036804108541232346,0.9775268717325178,0.3309565316700857,0.4528180275078269,0.0009112186521957814,0.1497073959485993,0.5328422166331457,0.2864638355251887,0.1205934184957782,0.40728527749078336,0.030774014694502194,0.977281281860876,0.0,0.600997559507339,0.42390220638637505,0.9698760930724781,0.09973409683511825,0.16771124813405774,0.6518570675966479,0.03283573457225365,0.7485540524368423,0.915554809919474,0.9999999999999729,0.0014063806971722009,0.0024897886600659612
49,0.9953355755506227,0.5384270447902095,0.7148948194990042,0.9999999999999685,0.9297056845194532,0.027231489027568317,0.023589749743995324,0.9758333074189002,0.9817054607809129,0.5818802518344567,0.0,0.5969919342589318,0.2678258593564134,0.013982386165151907,0.009027155394970367,0.006138517678236562,0.7886693720228203,0.3634818143624014,0.13907307506742245,0.9973826179535759,0.4884591377159447,0.5064662660239961,0.0048880409982979284,0.9339258247151995,0.9161632854494198,0.7226257326682292,0.32129064387435274,0.9371458148143537,0.9982719250979719,0.926917273009636,0.8124757081535123,0.7420968714696753,0.9310950764242035,0.47030885263067684,0.7388031471590486,0.018700593470935875,0.09863392847452498,0.8088587763890749,0.0,0.8430006464903603,0.8114242293399987,0.4865705256220082,0.0,0.5709198121323753,0.5569589758569728,0.9783873563752186,0.5701574152686957,0.21415258333798382,0.20963102652213772,0.0,0.48880705023252846,0.20280501114290445,0.3652498141803284,0.7654753280874689,0.04588524097176553,0.7653018061966768,6.666666666666667e-05,0.758868724387885,0.04631925687181793,0.9801118070731704,0.36427475169396756,0.485280738913303,0.0015582095104051854,0.16995656106637366,0.5659532709960099,0.3212272885815649,0.13809470506499882,0.43775635695584647,0.0314074617088634,0.9818036681217622,0.0,0.6327066074409559,0.4365967648813772,0.9749553242118391,0.112491506873027,0.18653019643872912,0.6825491553740342,0.03846933215439942,0.7679980091556545,0.9264079461216503,0.9999999999999685,0.001512578580478061,0.0017252780410067082
50,0.9951238682106265,0.5355129898455991,0.714128534550386,0.9999999999999633,0.9375697287242762,0.028865797676050697,0.024068957890958417,0.9766071087444168,0.9825636153863275,0.600356756605892,0.0,0.6130381598453061,0.2812097763757742,0.017281354255544567,0.01135359885153099,0.008109716534836877,0.788045437178693,0.39726413902621865,0.1620348209539537,0.9975780860697571,0.5096786231234244,0.5280066824860372,0.0062402854017902225,0.9387315311741171,0.923807984595097,0.71761037348805,0.34412972521913976,0.9421759449130193,0.9984936201949277,0.9295949034169017,0.829951424655069,0.7674324427015523,0.93470460933386,0.4912175951139862,0.7607377368299783,0.01775533204543669,0.11828620209980321,0.8264944361043771,0.0,0.8569469285929685,0.8280658918579709,0.5217445363115623,0.0,0.6025571161059912,0.5830562175044991,0.9791771553705866,0.6003222275455388,0.2377313755099169,0.22875309467457397,0.0,0.49368980297886234,0.22808688715626085,0.3966767020725262,0.7865487125960505,0.0434870704845797,0.7779616316965835,6.666666666666667e-05,0.7750052556676473,0.055965050668071455,0.9824913124312361,0.3981505134663358,0.5190047149909923,0.002408496931117381,0.1931692361202448,0.5928909989712337,0.3532539128203015,0.15955257686563268,0.47009024828560286,0.02965141623716148,0.9831877025562027,0.0,0.6553780654735976,0.44225638909890247,0.9761575214723064,0.12350088791825761,0.20600809009133184,0.704334199047338,0.04138276372901773,0.7854489194755806,0.9303353354041565,0.9999999999999633,0.0010783805150379809,0.0028455787034004196
51,0.9933652871134925,0.5395283667152804,0.7214455741185376,0.999999999999972,0.9466627306715436,0.029497812769209698,0.025488168931720626,0.9792921825810239,0.9850292928638372,0.6044765065658141,0.0,0.625497041697176,0.2980199074483642,0.019816992022244,0.011889942604753607,0.009997923732296115,0.7957115676595194,0.4326556903210061,0.18542985760364264,0.9974280910277501,0.5257964213280141,0.5456920552666655,0.006728989942451321,0.9442122347128141,0.9287773074031241,0.7133667213473921,0.3609241753879917,0.9479793383859064,0.998798199707482,0.9348080860707705,0.844121206406286,0.7851085142882087,0.9421183956268596,0.49986306198334146,0.7860666118437064,0.01750359893836973,0.1366558860215614,0.8409753843375316,0.0,0.873018738315157,0.8412715945220914,0.5523084101906345,0.0,0.6299018565535139,0.615485655493345,0.9818115777943317,0.6378681248775264,0.25630974278351637,0.24854809907207948,0.0,0.49262379629214226,0.255841775640237,0.4269887414508555,0.8093029395838378,0.04295959258685096,0.7986767179801045,0.00013333333333333334,0.7940371494541494,0.06871734594384153,0.9846754785896887,0.43358697071086294,0.5549031450369142,0.004817448030681265,0.21850568605891232,0.6220746229793157,0.3809449379451916,0.18475147829905042,0.5079032947827604,0.029485962733745586,0.9861592732093027,0.0,0.6771586423537219,0.44288565923493317,0.9791086269006443,0.13972771438748388,0.22279355641938037,0.7319962597472633,0.04342025872619875,0.7963145700345559,0.9350923957863517,0.999999999999972,0.002183352981603463,0.0018410031867899838
52,0.993660843931205,0.5361053822837829,0.7169898339352808,0.9999999999999668,0.9523838109524716,0.032251369954617824,0.028733328353042452,0.9814278216430212,0.9876049760197994,0.6125223225369049,0.0,0.6426740407574587,0.31983486896494856,0.023465873964048777,0.015423345227397038,0.012025851423547453,0.7907247246437198,0.46371729394922107,0.2123693574789324,0.9973763398062385,0.543326320878588,0.5617907395342859,0.00885399581391164,0.9494628624843405,0.9339665147330876,0.713022598774394,0.3882544195414522,0.9525481832777416,0.998625610528483,0.9390801758747938,0.8576859666610804,0.8047455827895555,0.946164964325768,0.5100958109365524,0.8043244358671907,0.016661766491891338,0.15956987636420314,0.8541345086611097,0.0,0.8850111412049554,0.8546875449684538,0.5838839914685255,0.0,0.6549595134770919,0.6443360757890784,0.984037271111609,0.6625143650665174,0.2718820208020752,0.2662293180315704,0.0,0.5023170941151164,0.28580623461846205,0.4610171322942953,0.8252569912281938,0.042117721979372545,0.8071416129439372,2.2899035193495276e-05,0.807665151916961,0.08263746122189401,0.986961653855599,0.4646464461943304,0.5833160276893973,0.007492717480952804,0.2466951675308769,0.6523148314453489,0.4183438882951157,0.20882077800752633,0.5390755125295227,0.028614370466296557,0.9884037500146092,0.0,0.7044954322140814,0.45139507965900344,0.9814008380214093,0.1572506807214847,0.24203073843146988,0.7565902621430196,0.05233898241036828,0.8120253693920831,0.9410085877835104,0.9999999999999668,0.0017581309271153718,0.0021501820224892458
53,0.993271278108878,0.5365339670002928,0.7182954344883999,0.9999999999999676,0.9585500125451925,0.03430448731760002,0.02847812654634129,0.9824078770774461,0.9884984758078366,0.6234688949668952,0.0,0.6574566932055629,0.33874021772412666,0.028231342896930453,0.018721536384083498,0.014925940449093386,0.791207474123392,0.5031068287832211,0.23929377265359628,0.9979733542131506,0.5597041472395871,0.5839771630070134,0.009067344294009069,0.9526119172845587,0.9360605187496616,0.7105873663540673,0.41422045218804976,0.9570055507296147,0.9984439860942292,0.9423374250123744,0.8714649834001172,0.8266811054967402,0.95176672978408,0.5198360252706582,0.8218975465264171,0.01527659892651516,0.18165497245829992,0.8668206929218006,0.0,0.8988310909293074,0.8713080383380198,0.6098259424848287,0.0,0.6823823085747907,0.6707953448486653,0.9853163034900074,0.6976658197433901,0.2900206576986296,0.29248823945885827,0.0,0.5074866339292026,0.3171890873503721,0.4933006443839461,0.8392254622728139,0.039897927852264745,0.8175862478411238,6.666666666666667e-05,0.8263467589523493,0.09491141279413576,0.9871055237362983,0.503995792801211,0.6103333330777384,0.010865382219164575,0.2763294200275496,0.6789375016381421,0.4490689176214744,0.23653496878214875,0.5675506654200505,0.02623665294411356,0.9891955532226868,0.0,0.7274013730699942,0.46128539790673156,0.9826195709768869,0.17216311949417826,0.2637447616367684,0.7819036258321914,0.05659968826087922,0.8276511232632938,0.9429266264120095,0.9999999999999676,0.0012293758407301097,0.002790561800899803
54,0.9917205969348227,0.529797299760104,0.71319375047707,0.9999999999999631,0.9616556916109029,0.033259155549158696,0.02837229323675653,0.9829999752096417,0.9890436192226753,0.6377358518305183,0.0,0.6622964080686486,0.3561845241235796,0.0323890903719072,0.02016782495594085,0.017652574694561746,0.7825806753306745,0.5391896594036316,0.26366479182047226,0.997607439918051,0.5664114213231889,0.5950787005633331,0.012055085981072562,0.9585616110887913,0.945555430016305,0.712071957533832,0.44548311228799403,0.9612349740055608,0.9987333333332965,0.9471970908369612,0.8859562910548179,0.8424948702319025,0.954531076157055,0.5333999068368612,0.8389679324379452,0.014533733843777031,0.20671074849782978,0.8803985207854651,0.0,0.9076181032730184,0.8814435603911294,0.6361463565458564,0.0,0.7041658572492673,0.6857948225528259,0.9860681177755231,0.7207974896250288,0.3074006283223164,0.30788265690840944,0.0,0.5141745233236907,0.34565698165011105,0.518386632420115,0.8524612690578256,0.03700394449136242,0.8322984138041818,0.0,0.8428837004608553,0.11755025909814888,0.988000057208423,0.5399736666942773,0.6368439003786832,0.014924044672152742,0.30306087955131455,0.7014015280348633,0.4785330679639484,0.2640077431189347,0.5965244103419938,0.024279013677730117,0.9905807166479458,0.0,0.7447023867361404,0.4716986447520756,0.9840845511411407,0.18451990710478683,0.28103675150470825,0.7964588741476059,0.0608867696566692,0.8407414586441815,0.9486298829264878,0.9999999999999631,0.0017668165938105587,0.002396559066897091
