,"OutDegree, Distance, PRINCE, ModPRINCE, CheiRank, Cycles, SCC","PRINCE, ModPRINCE, CheiRank","ModPRINCE, CheiRank",CheiRank
"251, 302",47.0,47.0,79.0,84.0
"242, 302",12.0,19.0,24.0,24.0
"239, 302",50.0,50.0,62.0,62.0
"230, 302",6.0,27.0,39.0,39.0
"227, 302",25.0,25.0,45.0,47.0
"212, 302",2.0,2.0,3.0,3.0
"209, 302",1.0,1.0,1.0,1.0
"200, 302",3.0,5.0,5.0,6.0
"197, 302",0.0,9.0,9.0,9.0
"161, 302",0.0,0.0,0.0,0.0
"158, 302",11.0,11.0,26.0,33.0
"296, 299",2.0,9.0,9.0,12.0
"290, 299",5.0,26.0,26.0,29.0
"281, 299",6.0,22.0,30.0,33.0
"275, 299",14.0,28.0,43.0,47.0
"263, 299",7.0,7.0,7.0,9.0
"257, 299",18.0,18.0,18.0,21.0
"254, 299",13.0,13.0,13.0,15.0
"251, 299",57.0,57.0,82.0,86.0
"248, 299",12.0,12.0,20.0,50.0
"242, 299",12.0,26.0,28.0,29.0
"239, 299",58.0,58.0,66.0,66.0
"230, 299",6.0,34.0,47.0,47.0
"227, 299",30.0,30.0,51.0,52.0
"212, 299",3.0,4.0,4.0,6.0
"209, 299",2.0,2.0,2.0,3.0
"200, 299",7.0,7.0,7.0,12.0
"197, 299",1.0,13.0,13.0,15.0
"161, 299",0.0,0.0,0.0,1.0
"158, 299",16.0,16.0,31.0,36.0
"281, 296",21.0,50.0,50.0,50.0
"275, 296",13.0,62.0,62.0,62.0
"263, 296",9.0,21.0,21.0,21.0
"257, 296",23.0,39.0,39.0,39.0
"254, 296",21.0,31.0,31.0,31.0
"251, 296",70.0,86.0,91.0,91.0
"248, 296",15.0,39.0,41.0,66.0
"242, 296",18.0,43.0,43.0,43.0
"239, 296",69.0,76.0,76.0,76.0
"230, 296",21.0,62.0,62.0,62.0
"227, 296",41.0,67.0,68.0,69.0
"212, 296",7.0,16.0,16.0,18.0
"209, 296",2.0,11.0,11.0,12.0
"200, 296",7.0,23.0,23.0,24.0
"197, 296",7.0,29.0,29.0,29.0
"161, 296",3.0,4.0,4.0,4.0
"158, 296",32.0,48.0,52.0,52.0
"281, 290",6.0,66.0,66.0,66.0
"275, 290",16.0,73.0,73.0,73.0
"263, 290",11.0,36.0,36.0,36.0
"257, 290",21.0,54.0,54.0,54.0
"254, 290",26.0,47.0,47.0,47.0
"251, 290",70.0,96.0,96.0,96.0
"248, 290",14.0,60.0,60.0,76.0
"242, 290",12.0,62.0,62.0,62.0
"239, 290",71.0,86.0,86.0,86.0
"230, 290",6.0,73.0,73.0,73.0
"227, 290",42.0,79.0,79.0,79.0
"212, 290",7.0,33.0,33.0,33.0
"209, 290",7.0,24.0,24.0,24.0
"200, 290",7.0,39.0,39.0,39.0
"197, 290",1.0,43.0,43.0,43.0
"161, 290",0.0,17.0,17.0,18.0
"158, 290",41.0,69.0,69.0,69.0
"275, 281",21.0,77.0,79.0,79.0
"263, 281",37.0,43.0,43.0,43.0
"257, 281",6.0,62.0,62.0,62.0
"254, 281",37.0,52.0,52.0,52.0
"251, 281",87.0,93.0,97.0,97.0
"248, 281",51.0,51.0,62.0,82.0
"242, 281",6.0,69.0,69.0,69.0
"239, 281",75.0,89.0,89.0,89.0
"230, 281",0.0,79.0,79.0,79.0
"227, 281",60.0,79.0,83.0,83.0
"212, 281",32.0,32.0,39.0,39.0
"209, 281",21.0,27.0,31.0,31.0
"200, 281",6.0,43.0,47.0,47.0
"197, 281",6.0,50.0,50.0,50.0
"161, 281",6.0,8.0,21.0,24.0
