,PopRatio,KC,LC,aKC,Prol_KC,Diff_KC,preDiff_KC,pDC,iDC,M1,M2,Neutrophil,Th0,Th1,Th2,Th17,Th22,Treg,Fibroblast,ILC3,Division,Death
0,1.0,0.7047727500151297,0.23548093100380632,0.21247463914294248,0.0,0.00031640690828261213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16812745492294282,0.0,0.0,0.0,0.0
1,0.9999999999999998,0.6981219598879506,0.4904437520216129,0.6180312242745093,0.0,0.0011711374429320676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12326537866731069,0.0,0.0,0.0,0.0
2,0.999999999999999,0.6945924638362112,0.6181931727312139,0.818814345735478,0.0,0.002711865113349,0.0,0.0008036931667707824,0.0008161849766306018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12173994541387319,0.0,0.0,0.0,0.0
3,0.9999999999999997,0.6892277783009392,0.6740669627530325,0.9149026146972097,0.0,0.0035090882792917174,0.0,0.003966316402193948,0.003950913216669502,1.4576607802502517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13259469440157104,0.0,0.0,0.0,0.0
4,0.9999999999999999,0.6817459609959955,0.7019675295075316,0.9555318947056286,0.0,0.004104572668921896,0.0,0.010269097657532368,0.010261583112775656,0.00020343375503619677,0.0,0.00018854276029207806,0.0,0.0,0.0,0.0,0.0,0.14459378671998965,0.0,0.0,0.0,0.0
5,1.0000000000000002,0.6747033667090631,0.7107861503519878,0.9774915937575166,0.0,0.004404024311184594,0.0,0.022538775243634596,0.022591152074083777,0.0008915060464927716,0.0,0.0007069929763068364,0.0,0.0,0.0,0.0,0.0,0.16133465939240377,0.0,0.0,0.0,0.0
6,1.0,0.6764288327814799,0.7230067004123935,0.9888220257104701,0.0,0.005023188406269309,0.0,0.03961225181100824,0.0395758770073232,0.0014454794684875998,0.0,0.001441477459098172,0.0,0.0,0.0,0.0,0.0,0.17341876144801902,0.0,0.0,0.0,0.0
7,0.9999999999999989,0.6668511288743207,0.7227799712985506,0.994471621749328,0.0,0.006613859735965987,0.0,0.06381283922353632,0.06383015177071728,0.003285475659805261,0.0,0.002149137848971878,0.0,0.0,0.0,0.0,0.0,0.19104348146422967,0.0,0.0,0.0,0.0
8,0.9999999999999991,0.6649685059285292,0.7269171693523283,0.9970776389243237,0.0,0.00803618416251896,0.0,0.09451402567294032,0.0944709435380832,0.005346124920472386,0.0,0.003936541913764006,0.0,0.0,0.0,0.0,0.0,0.2105964625796778,0.0,0.0,0.0,0.0
9,0.9999999999999987,0.6610018360807877,0.7291919346902749,0.9991341541475138,0.0,0.009073287747910568,0.0,0.12520731278246558,0.12510959519541748,0.0080215614325524,0.0,0.00847919657086562,0.0,0.0,0.0,0.0,0.0,0.22547160702072344,0.0,0.0,0.0,0.0
10,0.9999999999999976,0.6518634980172525,0.726200105913692,0.9997235482490928,0.0,0.00993637128199804,0.0,0.165217139850065,0.16512890798006163,0.01088174555829349,0.0,0.013044941862849208,0.0,0.0,0.0,0.0,0.0,0.24253126667740252,0.0,0.0,0.0,0.0
11,0.9999999999999972,0.6467622737357007,0.7259861002383887,0.9997333333333324,0.0,0.011287773081890273,0.0,0.19936354599117959,0.19939879654237402,0.01639166104252608,0.0,0.018696361704128164,0.0,0.0,0.0,0.0,0.0,0.26174635230650234,0.0,0.0,0.0,0.0
12,0.9999999999999962,0.637936761895932,0.7211651785117121,0.9997131529906383,0.0,0.012443641044800183,0.0,0.24227496563165823,0.24228744010088094,0.025205019883360807,0.0,0.025105688168188207,0.0,0.0,0.0,0.0,0.0,0.2700026118888605,0.0,0.0,0.0,0.0
13,0.9999999999999959,0.6270220006430038,0.7152248104686415,0.9998407228265863,0.0,0.013375415715502407,0.0,0.2914317640017942,0.29162870940576313,0.03408317287535348,0.0,0.033234403063632956,6.666666666666667e-05,0.0,0.0,0.0,0.0,0.2857931511776118,0.0,0.0,0.0,0.0
14,0.999999999999991,0.6262991494505808,0.7182296622621609,0.9999333333333272,0.0,0.013716630461513524,0.0,0.33543086286841123,0.33583253377312017,0.04362814575667217,0.0,0.04275425852669218,0.0002519228648953574,0.0,0.0,0.0,0.0,0.29575637651411757,0.0,0.0,0.0,0.0
15,0.9999999999999849,0.6292480276724401,0.7239607243376698,0.9999999999999969,0.0,0.015650442778940597,0.0,0.37788801473179284,0.37860789410181417,0.052934788056782325,0.0,0.05197890827899085,0.00024406106925551523,0.0,0.0,0.0,0.0,0.30830464478627295,0.0,0.0,0.0,0.0
16,0.9999999999999818,0.6226118431661237,0.7159617749959041,0.9999999999999961,0.0,0.015935879789870083,0.0,0.4217827237952268,0.4225127939563767,0.06301298762734311,0.0,0.061291717510313606,0.000465981129817164,0.0,0.0,0.0,0.0,0.31877453446765674,0.0,0.0,0.0,0.0
17,0.9999999999999779,0.6187490963784573,0.7115553931804687,0.9999999999999929,0.0,0.015202475404963505,0.0,0.45906404353709823,0.4598425281225422,0.0705267606504357,0.0,0.07530073253696247,0.000667030786812508,0.0,0.0,0.0,0.0,0.32719514364357655,0.0,0.0,0.0,0.0
18,0.9999999999999708,0.6195416160164533,0.7152465353233123,0.9999999999999887,0.0,0.014980386935854162,0.0,0.5011010013412448,0.5017475765894865,0.08238810166793731,0.0,0.08772038477159046,0.0008827129331676716,0.0,0.0,0.0,0.0,0.3426912656762837,0.0,0.0,0.0,0.0
