,PopRatio,KC,LC,aKC,Prol_KC,Diff_KC,preDiff_KC,pDC,iDC,M1,M2,Neutrophil,Th0,Th1,Th2,Th17,Th22,Treg,Fibroblast,Division,Death,ILC3
149,1.06203255843518,0.210652268575916,0.461568713749748,0.99999999999999,0.590389136555356,0.100131053593643,0.051349871687235,0.996707186213641,0.99999999999999,0.873340764904104,0.033428681252504,0.982507708400759,0.971651300562717,0.639171881161977,0,0.686664887877582,0.680467424633303,0.485113718176133,0.464218074362354,0.003082660244553,0.001711417926086,0.935149490115798
150,1.06348877604125,0.211369676940939,0.462691080838568,0.999999999999992,0.593198573952237,0.094299775016354,0.048047610849054,0.996659336210221,0.999999999999992,0.875267926637349,0.035084144847982,0.982205304601212,0.971555723611643,0.636188837711385,0,0.691536035485936,0.68227552359835,0.486914519712165,0.470658256205964,0.003050063402263,0.001535377780194,0.937846433382619
151,1.06509715157047,0.211849900966148,0.460955754214356,0.999999999999991,0.600486932745654,0.094145082758874,0.049037962151953,0.996749921624739,0.999999999999991,0.879646064557977,0.035484295981755,0.983348852733891,0.972141472959877,0.642438411413135,0,0.693011736196185,0.687805645676691,0.484671155447859,0.477772027254402,0.002765042400569,0.00170083092735,0.94147297928485
152,1.06623064017926,0.213822011041116,0.460150338623783,0.999999999999989,0.604980105531879,0.091172597739056,0.04913824626662,0.996660906240601,0.999999999999989,0.881582625179765,0.034560969775761,0.984085781296854,0.974094635380468,0.648228816170211,0,0.696483068925031,0.687452661916086,0.485365429765178,0.485123347963886,0.00271745456272,0.001680989512985,0.943824866621314
153,1.06733575097275,0.213636453187451,0.459743974955546,0.999999999999988,0.616941817138868,0.089922721062651,0.053771328697592,0.996634448529316,0.999999999999988,0.882665763255018,0.033543202893943,0.985360414277402,0.974942318841796,0.65693760731666,0,0.703630031285512,0.691944267341964,0.483607851349132,0.500895275434999,0.002943322236099,0.001382828299826,0.944471289004215
154,1.0690013219401,0.211422258914793,0.457286769014784,0.999999999999988,0.622775438593547,0.088684032947472,0.049141864531012,0.996520981617491,0.999999999999988,0.878747157226582,0.034941187521799,0.985000714839444,0.974182400480547,0.663046138468691,0,0.707954428327046,0.697840776383189,0.480255565049061,0.506015558694695,0.003592852351509,0.001280964802889,0.944165218753585
155,1.07147273278574,0.214269605172208,0.455354747295479,0.999999999999992,0.628875218217576,0.09042057539055,0.049539539893259,0.996704903355358,0.999999999999992,0.877277235944738,0.034531878089557,0.985492039987975,0.974429368021155,0.672400577580253,0,0.714705609763608,0.701247300549946,0.476989189673099,0.5167797456402,0.003456021238562,0.001701419786717,0.942826212332457
156,1.07335274039829,0.212539196302793,0.456058981320488,0.999999999999991,0.637723369537373,0.088639073404102,0.048793703515479,0.996784535775127,0.999999999999991,0.875686301003522,0.032495467935863,0.986687143097394,0.974846650670547,0.685510745898555,0,0.724941719284871,0.713600478753335,0.477814228180834,0.529373101715968,0.00338857882953,0.001815425715242,0.9415278760514
157,1.07504128860456,0.214635071133707,0.456172596885623,0.999999999999991,0.643927613781912,0.089935436335702,0.048852039023037,0.9966062023755,0.999999999999991,0.880487232753215,0.032108525293905,0.987234405126877,0.974956498280642,0.689783753561192,0,0.732328602548836,0.716476104894235,0.477138393963233,0.532957715631993,0.003166283894415,0.001649048244877,0.945937277506244
158,1.07667237957235,0.211856125889105,0.453057654050411,0.999999999999992,0.647210517879083,0.089481124526356,0.048741820048576,0.996688491577294,0.999999999999992,0.88686718599905,0.032436457631441,0.98728694077911,0.974980514296598,0.693204329015412,0,0.734890678529051,0.725345549407449,0.472564882603899,0.53730934616486,0.00351235035747,0.001999512335905,0.949569976279954
159,1.07823059305206,0.213484159553631,0.452457691813869,0.99999999999999,0.651580741945752,0.091402668068946,0.05225127472686,0.996750983338358,0.99999999999999,0.885847131094017,0.035093992646069,0.986523738597727,0.975493288516369,0.693312237888126,0,0.733263682900494,0.725161107892807,0.472576904882061,0.546443862923099,0.002815205488058,0.001770566166443,0.94966224791128
160,1.07935695512732,0.214102972290415,0.448183498641607,0.999999999999991,0.653726339538211,0.093351109271268,0.05591144694396,0.99655666446964,0.999999999999991,0.888645584138798,0.03486354393997,0.985811204284764,0.977087764530148,0.703043794179103,0,0.739087030078653,0.734359371265899,0.468574540949493,0.550862595574249,0.00248845770358,0.002415756811811,0.950244776479649
161,1.07943542534049,0.212473022276568,0.443925622455961,0.999999999999994,0.659563490583113,0.093547549059672,0.057099299184353,0.996552874474518,0.999999999999994,0.893142266461824,0.034878222897442,0.987081398600444,0.977992938330103,0.715056728928969,0,0.743789467918991,0.740059999364275,0.464789131732986,0.558365618103237,0.002673478246177,0.001977330062648,0.955210327815654
162,1.08018687235107,0.209095925128812,0.436705431340551,0.999999999999993,0.662617089229752,0.092458097270604,0.054807080965842,0.996925519602029,0.999999999999993,0.889462669468024,0.038499269093575,0.989498671588523,0.978462830698372,0.719541233583003,0,0.752806824290686,0.748196913481589,0.4601044779021,0.564642523897643,0.002573155965143,0.001843134118919,0.955909740145023
163,1.0809217757139,0.204474207133374,0.434294340658285,0.999999999999993,0.668148794546296,0.094593730097047,0.059515653344478,0.996675658293519,0.999999999999993,0.889281827283327,0.037825743928991,0.988828864402969,0.978336511850292,0.721089112716924,0,0.756743836634182,0.749020856097992,0.456287381352509,0.571535875251805,0.003665215850349,0.00191809968094,0.956974397969895
164,1.08281027162611,0.206392910473921,0.43330173554431,0.999999999999995,0.666080851887071,0.097676442225095,0.059300049631041,0.996607488381189,0.999999999999995,0.890248088317851,0.038887126811586,0.989121257734235,0.980303384539439,0.722514983498968,0,0.763970869537308,0.754149557900416,0.456989881489969,0.57149889688402,0.003685506227636,0.001666944536042,0.958597165516776
165,1.08499599095967,0.203561717992828,0.429210147748692,0.999999999999994,0.666661424668217,0.099393922260226,0.059933318453657,0.996778733532145,0.999999999999994,0.894616673397973,0.037918434851772,0.989658340638795,0.981411693789575,0.729758124475257,0,0.772606829888543,0.762192375409813,0.451221776933096,0.575119726545519,0.002944372872263,0.002022119667357,0.957328624474566
166,1.08593892582964,0.207223391381008,0.43087914391147,0.999999999999995,0.675733761036426,0.099296851875284,0.058576161166128,0.996787891266524,0.999999999999995,0.89548322503348,0.038152842481834,0.990496395349941,0.981064676979481,0.731152103091836,0,0.774497155850435,0.767823766471105,0.453896338965031,0.589091716932284,0.002978340561665,0.002090056968514,0.957420370801849
