"X","PopRatio","KC","LC","aKC","Prol_KC","Diff_KC","preDiff_KC","pDC","iDC","M1","M2","Neutrophil","Th0","Th1","Th2","Th17","Th22","Treg","Fibroblast","Division","Death","ILC3"
146,1.76144327108296,0.0608609535004102,0.155860896601808,1,0.992446191735608,0.0250733097530176,0.504240221852711,0.996882903790888,1,0.9894,0.0106,0,1,0.9894,0,0.9894,0.9894,0.156877731696392,0.991066666666666,0.00456674394367346,0.00281977192748834,1
147,1.76446483511063,0.0604183380550952,0.154510226120216,0.999999999999999,0.991999999999999,0.0246071394054818,0.509348057420875,0.996750720801659,0.999999999999999,0.988733333333332,0.0112666666666667,0,0.999999999999999,0.988733333333332,0,0.988733333333332,0.988733333333332,0.155331179469455,0.990733333333333,0.004509814437842,0.00292561619476402,0.999999999999999
148,1.76719644533943,0.0582019511243815,0.151380669241808,1,0.990933333333333,0.0228513354286616,0.509465437205372,0.996557992753065,1,0.988466666666666,0.0115333333333333,0,1,0.988466666666666,0,0.988466666666666,0.988466666666666,0.152941708571981,0.990102235482889,0.00604888931948992,0.001957190559166,0.999999999999999
149,1.77437069661503,0.0574569879003109,0.147817914850572,1,0.9912,0.0217273950850244,0.50868322130867,0.996407161306867,1,0.9882,0.0118,0,1,0.9882,0,0.9882,0.9882,0.149832101829566,0.990249246852903,0.00560889071498177,0.00225747330974287,1
150,1.78031735345101,0.0530312875083134,0.138083391880916,1,0.991625201593777,0.020388377160026,0.50382796712692,0.996741625123567,1,0.9886,0.0114,0,1,0.9886,0,0.9886,0.9886,0.140296926057772,0.990778572592987,0.0045297728186832,0.00311571084804729,1
151,1.78283483251618,0.0507314784682436,0.137897711914415,1,0.991410121854361,0.0190443125768527,0.509222903296674,0.996826708093532,1,0.9878,0.0122,0,1,0.9878,0,0.9878,0.9878,0.140551237896044,0.991023706148519,0.00430764080116707,0.00318853314233762,0.999999999999999
152,1.78483001663168,0.0500244135868001,0.137742590723963,1,0.9902,0.0196,0.509304078887485,0.996799052864283,1,0.988466666666666,0.0115333333333333,0,1,0.988466666666666,0,0.988466666666666,0.988466666666666,0.1397996505854,0.98954585508373,0.00518646116972747,0.00241056767286774,1
153,1.78978451466785,0.0510871823485668,0.136785874565508,1,0.989133333333334,0.0202949199569752,0.506384446063557,0.996617165512451,1,0.988733333333334,0.0112666666666667,0,1,0.988733333333334,0,0.988733333333334,0.988733333333334,0.138428502556948,0.988928984368003,0.00505907682013484,0.00268822900553019,1
154,1.79402782137306,0.049753207649304,0.136369409268701,1,0.990257432592737,0.0205297478973962,0.503620628915626,0.99663151002956,1,0.989066666666667,0.0109333333333333,0,1,0.989066666666667,0,0.989066666666667,0.989066666666667,0.137946636798067,0.989933333333334,0.0041587697906931,0.00292633424231096,0.999999999999999
155,1.79623884503491,0.0495252515339091,0.139135399907104,1,0.990066666666667,0.0228310294369014,0.501197541085704,0.996742408751677,1,0.988666666666667,0.0113333333333333,0,1,0.988666666666667,0,0.988666666666667,0.988666666666667,0.140623125214085,0.989733333333333,0.00491647957530739,0.003192239705731,1
156,1.7993359916668,0.0487372764441011,0.140259105053865,1,0.9902,0.019665446984798,0.509007009293098,0.996541747847107,1,0.988266666666667,0.0117333333333333,0,1,0.988266666666667,0,0.988266666666667,0.988266666666667,0.14167538248287,0.990066666666667,0.00512828602109802,0.00271185972931948,1
157,1.80368395446481,0.0478181932487734,0.145464262228411,1,0.989564816158121,0.0191260291016464,0.513851899545277,0.996686791930934,1,0.986866666666667,0.0131333333333333,0,1,0.986866666666667,0,0.986866666666667,0.986866666666667,0.146973517652615,0.989533333333333,0.00421752029428293,0.00245908821996407,1
158,1.80685561018228,0.0471013333157096,0.148045044353196,1,0.9908,0.0188172214017067,0.518159773035532,0.996751087918254,1,0.985933333333333,0.0140666666666667,0,1,0.985933333333333,0,0.985933333333333,0.985933333333333,0.149720731599864,0.990733333333333,0.00414900441270697,0.00249736160091206,1
159,1.80983989026278,0.0463030642984655,0.149772843757008,1,0.9908,0.0204597001204985,0.519103548090655,0.9967573345823,1,0.986066666666666,0.0139333333333333,0,1,0.986066666666666,0,0.986066666666666,0.986066666666666,0.151661134814752,0.990759567056899,0.00483884501069948,0.00208763313900191,1
160,1.81481914325475,0.0463400972425682,0.152037255677971,1,0.991351758708457,0.0204518846923527,0.515738288738623,0.996706282707835,1,0.986733333333333,0.0132666666666667,0,1,0.986733333333333,0,0.986733333333333,0.986733333333333,0.154067301541866,0.991,0.00453948495201346,0.00308199709060293,0.999999999999999
161,1.81739947484848,0.0483524296588667,0.154819617523625,1,0.991733333333334,0.0222,0.513810185366821,0.996782150051032,1,0.984933333333334,0.0150666666666667,0,1,0.984933333333334,0,0.984933333333334,0.984933333333334,0.156979777055045,0.9912,0.00472990444586378,0.00304803076185363,1
162,1.82045611119856,0.0471792527082444,0.152504544096648,1,0.991846086732645,0.0205959225869599,0.5092857257888,0.996665261441312,1,0.9858,0.0142,0,1,0.9858,0,0.9858,0.9858,0.154703443877341,0.991180232924876,0.0038969659790461,0.00245597443125449,0.999999999999999
163,1.82307937306792,0.0488317381556825,0.155344426201324,1,0.992266666666666,0.02078178205396,0.509385862596144,0.996698716604497,1,0.9858,0.0142,0,1,0.9858,0,0.9858,0.9858,0.157701026983355,0.991533333333333,0.00443577369309042,0.00307019542146262,1
164,1.82556893064724,0.0477208257384181,0.15516638413765,1,0.992464215728142,0.0208911725958777,0.50099594510806,0.99665240458651,1,0.986199999999999,0.0138,0,1,0.986199999999999,0,0.986199999999999,0.986199999999999,0.157443957112766,0.991882790497979,0.00572764213771881,0.00330216878248073,1
165,1.8298750948513,0.0475085727418627,0.156571614211079,1,0.992399999999999,0.022,0.499367760539988,0.996514860262837,1,0.986666666666666,0.0133333333333333,0,1,0.986666666666666,0,0.986666666666666,0.986666666666666,0.158711799875699,0.991866666666666,0.00493577456984803,0.00247793051258087,1
166,1.83437264247872,0.0478577605737941,0.157538989467396,0.999999999999999,0.992666666666666,0.0251254626527134,0.49480119776592,0.99666348828137,0.999999999999999,0.987533333333332,0.0124666666666667,0,0.999999999999999,0.987533333333332,0,0.987533333333332,0.987533333333332,0.159699066900053,0.991933333333333,0.00408898347926688,0.00215148239967352,1
