,PopRatio,KC,LC,aKC,Prol_KC,Diff_KC,preDiff_KC,pDC,iDC,M1,M2,Neutrophil,ILC3,Th0,Th1,Th2,Th17,Th22,Treg,Fibroblast,Division,Death
40,1.2500451223909987,0.10775753439636655,0.26047502732788536,0.9999999999999984,0.9442819561386266,0.0729157039743831,0.2895493826253621,0.9965302960248378,0.9999999999999984,0.9101454858149917,0.08413333333333332,0.9970375342706124,0.0,0.9999999999999984,0.0,0.0,0.0,0.0,0.32598348503790026,0.8529702658948006,0.0010977357710528558,0.0017040097415663468
41,1.2492872525713237,0.10576007711979422,0.26049713623130577,0.9999999999999968,0.9442607493416798,0.07042100700334215,0.2902741690440704,0.9965926568078288,0.9999999999999968,0.9070980659036616,0.08569862941053932,0.9976666666666636,0.0,0.9999999999999968,0.0,0.0,0.0,0.0,0.327549954593142,0.852749307995848,0.0010096778964452978,0.00214216857480527
42,1.247872446403189,0.10738046812834667,0.26332894033097753,0.9999999999999978,0.943375816463252,0.07183251707207788,0.2880019825888431,0.9967218254710021,0.9999999999999978,0.90022427570818,0.09093333333333338,0.9981999999999979,0.0,0.9999999999999978,0.0,0.0,0.0,0.0,0.3355252184881518,0.8476431899431801,0.0009402549973641101,0.0016368164691168078
43,1.2470032265353599,0.10671628147870005,0.2643561659539124,0.9999999999999996,0.9454008430223892,0.07067003102279933,0.28716703984935643,0.9967130288504703,0.9999999999999996,0.8998914511437579,0.09135087977465714,0.9981243999021503,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.33574490883132213,0.8488572353191933,0.0011213869425394656,0.001878280973444508
44,1.2460593772366753,0.10753543591113122,0.26638179690844366,0.9999999999999988,0.9473629991866012,0.07013764843878835,0.29048145177418744,0.9964941494487918,0.9999999999999988,0.9017623777441314,0.0888666666666667,0.9973333333333323,0.0,0.9999999999999988,0.0,0.0,0.0,0.0,0.3346690534225233,0.8537659853404513,0.0013361538139185964,0.001409651126544077
45,1.245967795221075,0.10260920026166187,0.2635666575421507,0.9999999999999987,0.9464460308377124,0.06778623668612616,0.2894247796225964,0.9965517257436203,0.9999999999999987,0.901733481779051,0.08800000000000008,0.9968791183504603,0.0,0.9999999999999987,0.0,0.0,0.0,0.0,0.3310241902842189,0.8541995359494461,0.0014844496231540937,0.0024183884799111495
46,1.244804137482849,0.10172453681412608,0.2643860766787019,0.9999999999999991,0.9437219109794283,0.06812110890132234,0.2863636540357811,0.9965601326983754,0.9999999999999991,0.8973741244441571,0.09150788958941072,0.9973333333333324,0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.3348224824995741,0.847409420816986,0.0009287331843928655,0.0015978277241742666
47,1.2439712458313608,0.1013431485079016,0.2588331243818956,0.9999999999999997,0.9460478884577448,0.06964492464311108,0.29292118900623154,0.99669235933321,0.9999999999999997,0.8983049428020643,0.0920666666666667,0.9976363582483491,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.33144897793625744,0.8500918270845377,0.0012912392418334344,0.001863350857325768
48,1.243259555432282,0.10750181819387364,0.2588258912170578,0.9999999999999974,0.9431261864329983,0.07565697080757733,0.2935476626123317,0.9968792891768651,0.9999999999999974,0.9002669529926566,0.09060000000000008,0.9975999999999975,0.0,0.9999999999999974,0.0,0.0,0.0,0.0,0.33030320906116767,0.8481349618911045,0.001230715470259923,0.0021317760148853405
49,1.2421393033001502,0.11218905580336648,0.2587597386978542,0.9999999999999997,0.9453712269974146,0.07656055262100057,0.29801602080854556,0.996723652569854,0.9999999999999997,0.9023475989317145,0.08979999999999998,0.9974624073129972,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.33112261733617354,0.8509503629083783,0.0010878105449727779,0.001582665623474283
50,1.2415246243577054,0.11016676249914682,0.2556707496481824,0.999999999999999,0.9464862008009881,0.07737086888286761,0.29817519006848714,0.9967114965292098,0.999999999999999,0.9076269657335503,0.0860666666666667,0.9978369590166719,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.324454341419531,0.854874254688064,0.0016667830807422933,0.002157809203680934
51,1.2408322350265824,0.11108671212918443,0.25767560732979566,0.9999999999999998,0.9430600918094234,0.07807732433775515,0.3068241968367035,0.9963897745010301,0.9999999999999998,0.9042778170327435,0.0896666666666667,0.9983771888170468,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.3294236704110416,0.8466675754275798,0.0012445658205944188,0.002532733529975158
52,1.2392338350086616,0.11370233978814835,0.25898971839188617,0.9999999999999991,0.9442021765665506,0.08075136380725263,0.31246322740620563,0.9965035500924532,0.9999999999999991,0.9038481746622021,0.08980000000000006,0.9985999999999992,0.0,0.9999999999999991,0.0,0.0,0.0,0.0,0.33007788568360946,0.8487125956903593,0.0017580259266761745,0.0015810845896734092
53,1.2394531067002856,0.11191623627860957,0.2548235887782967,0.9999999999999997,0.9426576846325048,0.08253929802293275,0.319014186798233,0.9967352058863926,0.9999999999999997,0.9101905451991479,0.08306666666666666,0.9985999999999997,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.3213818701519909,0.8534511466889764,0.0010629697392900274,0.0026422738943509033
54,1.23749563325887,0.11154389845711468,0.2505878581559401,0.9999999999999988,0.9423053081500179,0.08629864066741183,0.3231802638561468,0.9967599883301824,0.9999999999999988,0.9147719641043954,0.07906960781291711,0.9988666666666653,0.0,0.9999999999999988,0.0,0.0,0.0,0.0,0.31482341704082695,0.8561469317422409,0.001074010972143164,0.00203654143793635
55,1.2362704811162102,0.10694043845459313,0.2442406946203736,0.999999999999999,0.9421571480086499,0.08062515194680034,0.3172483278395114,0.9967682882683206,0.999999999999999,0.9109421559639292,0.08200403492614944,0.9987333333333323,0.0,0.999999999999999,0.0,0.0,0.0,0.0,0.3112553670746751,0.8518809732145761,0.0012124485965801072,0.0015537243772110367
56,1.2358485719426953,0.10712650138105174,0.2420505728795527,0.9999999999999983,0.9402103820084793,0.08304102514311112,0.31608436253402217,0.9968986129384774,0.9999999999999983,0.9148512429988789,0.07683874296145476,0.9994666666666651,0.0,0.9999999999999983,0.0,0.0,0.0,0.0,0.30503431600976927,0.8559404354259442,0.0009759767391505875,0.0017870593906676882
