"X","PopRatio","Diff_KC","Fibroblast","M1","M2","Neutrophil","Prol_KC","Th0","Th1","Th17","Th2","Th22","Treg","iDC","pDC","preDiff_KC","ILC3"
0,1,0.000411,0,0,0,0,0,0,0,0,0,0,0.168226,0,0,0,0
1,1.000002,0.001844,0,0,0,0,0,0,0,0,0,0,0.121264,0,0,0,0
2,1.000006000008,0.003128,0,0,0,0,0,0,0,0,0,0,0.118578,0.000427,0.00042,0,0
3,1.000005000002,0.004646,0,0.000123,0,3.3e-05,0,0,0,0,0,0,0.131328,0.003534,0.003532,0,0
4,1.000011000032,0.005037,0,0.000413,0,0.000333,0,0,0,0,0,0,0.147701,0.010146,0.010155,0,0
5,1.000012000043,0.005019,0,0.000911,0,0.001141,0,0,0,0,0,0,0.161033,0.024276,0.024254,0,0
6,1.000028000235,0.005644,0,0.002377,0,0.002067,0,0,0,0,0,0,0.175234,0.042165,0.04223,0,0
7,1.000039000543,0.005705,0,0.003476,0,0.002783,0,0,0,0,0,0,0.191284,0.06271,0.062764,0,0
8,1.00005800128402,0.006616,0,0.005138,0,0.005274,0,0,0,0,0,0,0.212423,0.0918159999999998,0.0918699999999999,0,0
9,1.00008000256005,0.006526,0,0.00811700000000001,0,0.008519,0,0,0,0,0,0,0.231653,0.126579,0.126579,0,0
10,1.00013200672018,0.008406,0,0.011888,0,0.012618,0,0.000131,0,0,0,0,0.240129,0.163455000000001,0.163263000000001,0,0
11,1.00018701398055,0.008115,0,0.017105,0,0.017996,0,0.000267,0,0,0,0,0.254256,0.20251,0.202423000000001,0,0
12,1.00024902557543,0.00958899999999999,0,0.022976,0,0.022723,0,0.000268,0,0,0,0,0.270602999999999,0.250508000000001,0.250427000000001,0,0
13,1.00032404425235,0.009201,0,0.032186,0,0.0289320000000001,0,0.000362,0,0,0,0,0.284945999999999,0.298274,0.298155,0,0
14,1.0004200753606,0.009995,0,0.041974,0,0.0390930000000001,0,0.000644,0,0,0,0,0.303840999999997,0.345964999999997,0.345652999999997,0,0
15,1.00057013837192,0.010318,0,0.053341,0,0.0516349999999999,6.1e-05,0.000659,0,0,0,0,0.308158999999999,0.394484999999995,0.393820999999995,0,0
16,1.00070521534061,0.011339,0,0.0666269999999998,0,0.0586819999999999,0,0.000913,0,0,0,0,0.317097999999999,0.435368999999995,0.434224999999996,0,0
17,1.00092336907756,0.01203,0,0.0788569999999996,0,0.0696909999999999,0,0.001185,0,0,0,0,0.325426999999997,0.476454999999992,0.474934999999992,0,0
18,1.00115358145246,0.013528,0,0.0929839999999995,0,0.0772729999999995,0,0.002003,0,0,0,0,0.336960999999997,0.519772999999997,0.517757999999997,0,0
19,1.00147495175213,0.013654,0,0.108001999999999,0,0.0915009999999997,1.6e-05,0.002687,0,0,0,0,0.349802999999998,0.561092000000001,0.558800000000002,0,0
20,1.00180443701128,0.015526,0,0.119273999999999,0,0.106721999999999,0,0.003237,0,0,0,0,0.357763999999998,0.595773000000011,0.592800000000011,0,0
21,1.00220215337279,0.016188,0,0.134352,0,0.124519999999999,0,0.004925,0,0,0,0,0.366511999999996,0.634634000000002,0.630933000000002,0,0
22,1.00266416856553,0.014725,0,0.144813,0,0.140156,0,0.006307,0,0,0,0,0.379731999999991,0.665577000000011,0.66114100000001,0,0
23,1.00324270579083,0.0147,0,0.165329000000002,0,0.155499000000001,0,0.009012,0,0,0,0,0.389869999999997,0.695129000000018,0.689328000000019,0,0
24,1.00384465141434,0.013482,0,0.181196000000003,0,0.168808000000002,6.7e-05,0.012016,0,0,0,0,0.402951999999993,0.723227000000024,0.716888000000023,0,0
