"X","PopRatio","Diff_KC","Fibroblast","M1","M2","Neutrophil","Prol_KC","Th0","Th1","Th17","Th2","Th22","Treg","iDC","pDC","preDiff_KC","ILC3"
0,1,0.000405,0,0,0,0,0,0,0,0,0,0,0.166295,0,0,0,0
1,1.000003,0.001283,0,0,0,0,0,0,0,0,0,0,0.12028,0,0,0,0
2,1.000008000015,0.001987,0,6.6e-05,0,0,0,0,0,0,0,0,0.121236,0.000898,0.000888,0,0
3,1.000002999975,0.003019,0,8.7e-05,0,0,0,0,0,0,0,0,0.13794,0.003621,0.003605,0,0
4,0.99999799996,0.004342,0,0.000562,0,5.8e-05,0,0,0,0,0,0,0.153269,0.013201,0.013218,0,0
5,1.000001999952,0.005942,0,0.001212,0,0.000465,0,0,0,0,0,0,0.1673,0.025932,0.026028,0,0
6,1.00001099997,0.007015,0,0.002498,0,0.001323,0,0,0,0,0,0,0.180859,0.042407,0.042372,0,0
7,1.00001099997,0.007915,0,0.003687,0,0.003991,0,0,0,0,0,0,0.199194,0.0655709999999999,0.06561,0,0
8,1.00003900027801,0.009446,0,0.006548,0,0.006389,0,0,0,0,0,0,0.225094000000001,0.0966039999999999,0.0965459999999999,0,0
9,1.00007600172102,0.009538,0,0.010713,0,0.01011,0,0,0,0,0,0,0.236873,0.131605,0.131634,0,0
10,1.00013800643313,0.00985599999999999,0,0.01586,0,0.014004,0,0,0,0,0,0,0.243881,0.170839,0.17075,0,0
11,1.00020301540355,0.010969,0,0.019456,0,0.020216,0,6e-05,0,0,0,0,0.252939,0.217211,0.217201,0,0
12,1.00028203144177,0.011606,0,0.025398,0,0.026948,0,2e-04,0,0,0,0,0.268996,0.257131,0.257225,0,0
13,1.0003430486457,0.011849,0,0.0339920000000001,0,0.038496,0,0.000283,0,0,0,0,0.286876999999999,0.304664999999996,0.304565999999997,0,0
14,1.00045608741021,0.01287,0,0.0426870000000001,0,0.0475809999999998,0,0.000262,0,0,0,0,0.304193999999999,0.354981999999998,0.354768999999998,0,0
15,1.00059415035028,0.012053,0,0.054739,0,0.0568949999999999,0,0.000544,0,0,0,0,0.319311999999998,0.400824999999995,0.400386999999995,0,0
16,1.00079126739791,0.012897,0,0.0688579999999998,0,0.0687629999999999,0,0.000846,0,0,0,0,0.328694999999998,0.447916999999995,0.447527999999995,0,0
17,1.00102445176322,0.012539,0,0.0780879999999996,0,0.0827509999999996,0,0.000827,0,0,0,0,0.335884999999996,0.491552999999994,0.490696999999994,0,0
18,1.00130073451192,0.012,0,0.0923619999999995,0,0.0949299999999996,0,0.001087,0,0,0,0,0.341762000000001,0.531395000000001,0.529864000000001,0,0
19,1.00164518196461,0.012549,0,0.109541999999999,0,0.112677999999999,0,0.002292,0,0,0,0,0.353094999999998,0.567043000000005,0.565193000000004,0,0
20,1.00200276929461,0.015451,0,0.124721999999999,0,0.126753999999999,0,0.002989,0,0,0,0,0.359200999999996,0.602456000000005,0.600190000000006,0,0
21,1.00241359043004,0.013686,0,0.141207,0,0.136051,0,0.004213,0,0,0,0,0.377285999999995,0.634468000000007,0.631307000000007,0,0
22,1.00292081170683,0.013971,0,0.154924000000001,0,0.153196000000001,0,0.006463,0,0,0,0,0.390560999999996,0.663314000000019,0.659635000000019,0,0
23,1.00343531008327,0.015594,0,0.170691000000001,0,0.172054000000002,5.3e-05,0.00695900000000001,0,0,0,0,0.403547999999993,0.693212000000024,0.688795000000024,0,0
24,1.00405141936369,0.017045,0,0.189072000000003,0,0.189223000000002,0.000245,0.009623,0,0,0,0,0.410788999999988,0.721128000000032,0.715639000000031,0,0
25,1.00475023915162,0.017306,0,0.206057000000004,0,0.206428000000004,0.000335,0.011554,0,0,0,0,0.419105999999991,0.745933000000033,0.740243000000032,0,0
26,1.0055490155918,0.017876,0,0.220099000000006,0,0.223151000000006,0.000536,0.015971,0,0,0,0,0.42336599999999,0.774039000000037,0.767984000000036,0,0
