"X","PopRatio","Diff_KC","Fibroblast","M1","M2","Neutrophil","Prol_KC","Th0","Th1","Th17","Th2","Th22","Treg","iDC","pDC","preDiff_KC","ILC3"
0,1,0.00034,0,0,0,0,0,0,0,0,0,0,0.1661,0,0,0,0
1,0.999999,0.00123,0,0,0,0,0,0,0,0,0,0,0.127788,0,0,0,0
2,0.999999,0.001965,0,0,0,0,0,0,0,0,0,0,0.125392,0.000495,0.000491,0,0
3,1.000000999998,0.00226,0,8e-06,0,4.6e-05,0,0,0,0,0,0,0.134937,0.003642,0.00364,0,0
4,1.000005000002,0.002758,0,0.00017,0,0.000314,0,0,0,0,0,0,0.147586,0.010779,0.010758,0,0
5,1.000016000057,0.004686,0,0.000647,0,0.000541,0,0,0,0,0,0,0.159016,0.024181,0.024164,0,0
6,1.000020000121,0.005247,0,0.001887,0,0.001542,0,0,0,0,0,0,0.17317,0.045427,0.045436,0,0
7,1.000031000341,0.006319,0,0.003691,0,0.003432,0,0,0,0,0,0,0.188853,0.068974,0.068867,0,0
8,1.00006500139502,0.00668,0,0.005294,0,0.006463,0,0,0,0,0,0,0.202526,0.0994639999999998,0.0993919999999998,0,0
9,1.00010000367006,0.007861,0,0.008784,0,0.010658,0,0,0,0,0,0,0.214271,0.131887,0.1319,0,0
10,1.00015100877025,0.007521,0,0.013292,0,0.01507,0,0,0,0,0,0,0.230645,0.171759000000001,0.171773000000001,0,0
11,1.00019401526363,0.008513,0,0.019029,0,0.020206,0,3.9e-05,0,0,0,0,0.239822,0.218475000000001,0.218408000000001,0,0
12,1.00028003194895,0.009633,0,0.0241,0,0.0286020000000001,0,0.000134,0,0,0,0,0.255131,0.258759999999999,0.258680999999999,0,0
13,1.0003720577119,0.011854,0,0.032015,0,0.03611,0,0.00029,0,0,0,0,0.26955,0.302323999999999,0.302277999999999,0,0
14,1.00047209491767,0.013921,0,0.042744,0,0.046309,0,0.000201,0,0,0,0,0.284391,0.348611999999997,0.348473999999997,0,0
15,1.00061016006678,0.01429,0,0.0507539999999999,0,0.0564489999999999,0,0.000323,0,0,0,0,0.295865,0.390346999999995,0.390097999999996,0,0
16,1.00080327782769,0.014299,0,0.0633509999999998,0,0.0695959999999999,0,0.000449,0,0,0,0,0.311272999999998,0.439934999999993,0.439728999999993,0,0
17,1.00104547222093,0.015801,0,0.0784119999999994,0,0.0845669999999995,0,0.000867,0,0,0,0,0.317016999999997,0.490925999999993,0.489924999999993,0,0
18,1.00132276181676,0.016758,0,0.0942889999999992,0,0.0990899999999993,6.1e-05,0.001103,0,0,0,0,0.327437999999999,0.538226000000003,0.536610000000002,0,0
19,1.00165219700542,0.016779,0,0.108455999999999,0,0.115268999999999,0,0.001267,0,0,0,0,0.343954999999997,0.573506000000008,0.571920000000007,0,0
20,1.00207489423258,0.017317,0,0.122963999999999,0,0.129331999999999,0,0.002117,0,0,0,0,0.354619,0.605412000000001,0.602990000000002,0,0
21,1.00255689225674,0.018817,0,0.137138,0,0.140363000000001,1e-05,0.003286,0,0,0,0,0.363853999999996,0.643954000000012,0.641234000000012,0,0
22,1.00307721928386,0.020454,0,0.152883000000001,0,0.152114,0.000103,0.00506900000000001,0,0,0,0,0.376339999999994,0.676205000000014,0.672549000000014,0,0
23,1.00362289329118,0.021731,0,0.169623000000002,0,0.170423000000002,0.000488,0.005971,0,0,0,0,0.390573999999994,0.702720000000023,0.698221000000024,0,0
24,1.00423008514166,0.023163,0,0.184519000000003,0,0.185188000000002,0.000204,0.00826600000000001,0,0,0,0,0.407087999999994,0.731384000000024,0.726565000000025,0,0
