"X","PopRatio","Diff_KC","Fibroblast","M1","M2","Neutrophil","Prol_KC","Th0","Th1","Th17","Th2","Th22","Treg","iDC","pDC","preDiff_KC","ILC3"
0,1,0.000426,0,0,0,0,0,0,0,0,0,0,0.164474,0,0,0,0
1,1.000001,0.002002,0,0,0,0,0,0,0,0,0,0,0.124793,1.7e-05,1.6e-05,0,0
2,1.000005000004,0.00266,0,7e-06,0,0,0,0,0,0,0,0,0.120495,0.000451,0.000463,0,0
3,1.000000999984,0.003444,0,0.000183,0,0.000123,0,0,0,0,0,0,0.127041,0.004214,0.004189,0,0
4,1.000001999985,0.004772,0,0.00037,0,0.000395,0,0,0,0,0,0,0.141225,0.008985,0.008976,0,0
5,1.000014000009,0.005752,0,0.000644,0,0.001054,0,0,0,0,0,0,0.157711,0.020946,0.020907,0,0
6,1.000032000261,0.008464,0,0.001518,0,0.002192,0,0,0,0,0,0,0.175665,0.040279,0.040356,0,0
7,1.000039000485,0.008937,0,0.003169,0,0.002597,0,0,0,0,0,0,0.190977,0.065177,0.065203,0,0
8,1.00006300142101,0.009968,0,0.005252,0,0.004103,0,0,0,0,0,0,0.202711,0.095164,0.095169,0,0
9,1.00008600287005,0.0104,0,0.00809700000000001,0,0.006999,0,0,0,0,0,0,0.211105,0.127909,0.127876,0,0
10,1.00014000751421,0.010355,0,0.011734,0,0.010127,0,0,0,0,0,0,0.229183000000001,0.16778,0.167878,0,0
11,1.00020701689472,0.012531,0,0.017143,0,0.016322,0,6.5e-05,0,0,0,0,0.237536000000001,0.205346000000001,0.205460000000001,0,0
12,1.00028303262801,0.013496,0,0.025159,0,0.022466,0,7.1e-05,0,0,0,0,0.246683000000001,0.251101000000001,0.251024000000001,0,0
13,1.00037005725185,0.015502,0,0.031981,0,0.0289120000000001,0,2e-04,0,0,0,0,0.268805999999999,0.301012999999997,0.301094999999997,0,0
14,1.00046709314741,0.016482,0,0.038347,0,0.040191,0,0.000456,0,0,0,0,0.28554,0.350618999999998,0.350651999999998,0,0
15,1.00059915480371,0.018023,0,0.0455809999999999,0,0.0490399999999999,0,0.000697,0,0,0,0,0.297785999999999,0.393950999999996,0.393765999999996,0,0
16,1.00075124587526,0.019354,0,0.0571359999999999,0,0.0611739999999999,0,0.00096,0,0,0,0,0.311434999999998,0.447216999999995,0.446866999999995,0,0
17,1.0009594021344,0.021184,0,0.0673559999999998,0,0.0739769999999996,0,0.001371,0,0,0,0,0.327405999999998,0.495237999999992,0.494499999999992,0,0
18,1.0011856189593,0.021949,0,0.0817549999999997,0,0.0887479999999995,0,0.001334,0,0,0,0,0.337705999999999,0.541178999999999,0.539718999999999,0,0
19,1.00149298294434,0.023475,0,0.100234999999999,0,0.102990999999999,0,0.001641,0,0,0,0,0.352459999999997,0.586380000000011,0.58469000000001,0,0
20,1.00190359506737,0.023417,0,0.110112999999999,0,0.113587999999999,0,0.003096,0,0,0,0,0.370047999999997,0.616999000000008,0.614425000000007,0,0
21,1.00228031081915,0.0254970000000001,0,0.125625999999999,0,0.129909,0,0.004392,0,0,0,0,0.376254999999996,0.652065000000019,0.648692000000019,0,0
22,1.00272532327719,0.025461,0,0.144828000000001,0,0.142622,0,0.005184,0,0,0,0,0.391386999999993,0.687792000000014,0.684056000000015,0,0
23,1.00323871864274,0.025653,0,0.157312000000001,0,0.154578000000001,6.7e-05,0.007949,0,0,0,0,0.405632999999991,0.710356000000017,0.705656000000018,0,0
24,1.00387176227424,0.026154,0,0.172392000000002,0,0.171846000000002,6.7e-05,0.00889000000000001,0,0,0,0,0.414173999999997,0.737456000000019,0.731631000000018,0,0
25,1.00461061189132,0.0257460000000001,0,0.187752000000004,0,0.182964000000002,8.8e-05,0.010589,0,0,0,0,0.424718999999995,0.763918000000029,0.758032000000028,0,0
26,1.00536808829273,0.025817,0,0.209531000000004,0,0.198489000000004,0.000125,0.015649,0,0,0,0,0.431066999999991,0.791069000000025,0.784523000000024,0,0
27,1.00619349549326,0.0264670000000001,0,0.229763000000005,0,0.217152000000006,0.000334,0.020762,0,0,0,0,0.440115999999986,0.815778000000041,0.809181000000039,0,4.3e-05
28,1.00708196434984,0.027954,0,0.240266000000007,0,0.234279000000007,0.000405,0.0273250000000001,0,0,0,0,0.446942999999987,0.836716000000044,0.830307000000042,0,4.2e-05
29,1.00803768513405,0.0285610000000001,0,0.264382000000004,0,0.256386000000006,0.000688,0.0332740000000001,0,0,0,0,0.454308999999986,0.85823400000005,0.850764000000049,0,0.000125
30,1.00905681123379,0.032997,0,0.282404000000001,0,0.272168000000003,0.000946,0.040288,0,0,0,0,0.461134999999985,0.871598000000054,0.862229000000054,0,0.000268
31,1.01020007260098,0.0348370000000001,0,0.290309000000002,0,0.282464000000003,0.001324,0.0481499999999999,0,0,0,0,0.469140999999987,0.881687000000041,0.871676000000041,0,0.000305
32,1.01124967047646,0.035018,0,0.308106999999999,0,0.300056999999998,0.002102,0.0583109999999998,0,0,0,0,0.476318999999986,0.890575000000051,0.879162000000052,0,0.000934
33,1.01236507886306,0.036787,0,0.323559999999997,0,0.319234999999998,0.0024,0.0683209999999997,0,0,0,0,0.482607999999983,0.898725000000051,0.887040000000051,0,0.001119
34,1.01344628476735,0.038667,0,0.337507999999994,0,0.337058999999995,0.002647,0.0783409999999997,0,0,0,0,0.493076999999979,0.909749000000063,0.898106000000061,0,0.002435
35,1.01466444720171,0.039356,0,0.358220999999995,0,0.354599999999993,0.004039,0.0875919999999994,0,0,0,0,0.502359999999982,0.919467000000052,0.909026000000053,0,0.003442
36,1.01579681272485,0.037849,0,0.37589599999999,0,0.36975199999999,0.004511,0.0972559999999992,0,0,0,0,0.506447999999982,0.933060000000066,0.924251000000066,6.7e-05,0.00461
37,1.01700662672888,0.038114,0,0.393569999999989,0,0.386668999999989,0.00626500000000001,0.109805999999999,6.7e-05,3.5e-05,0,2.8e-05,0.514333999999984,0.93936200000006,0.928856000000061,0.000133,0.00718700000000001
38,1.01826974895934,0.038382,0,0.410122999999987,0,0.403495999999987,0.00741900000000001,0.122999999999999,0.000196,0,0,6.6e-05,0.523543999999985,0.94474500000006,0.934535000000057,0.000267,0.010869
39,1.01941224761774,0.03973,0,0.427480999999987,0,0.422662999999984,0.008702,0.136354,0.000193,0,0,0.00013,0.527534999999985,0.95263300000006,0.941071000000061,0.000201,0.015552
40,1.02053054285344,0.040095,0,0.437234999999983,0,0.435996999999982,0.010336,0.15026,0.000324,0.000134,0,0.00023,0.532123999999987,0.957562000000056,0.946732000000056,0.000246,0.02131
41,1.02186131468139,0.037593,3.1e-05,0.455598999999984,0,0.453352999999984,0.013163,0.160427000000001,0.000455,0.000249,0,0.000773,0.53546399999999,0.962979000000056,0.951722000000058,4e-04,0.0270710000000001
42,1.0229925151568,0.038816,0,0.47383499999998,0,0.472378999999979,0.014075,0.175096000000002,0.000714,0.00042,0,0.000917,0.546288999999989,0.967723000000062,0.957102000000062,0.000267,0.0349810000000001
43,1.02410348502833,0.039357,0,0.482519999999981,0,0.488846999999978,0.018081,0.188593000000003,0.001067,0.000808,0,0.001047,0.549075999999991,0.970854000000056,0.959948000000056,0.000534,0.041479
44,1.02526379427692,0.0431549999999999,6.6e-05,0.486683999999978,0,0.504263999999977,0.019586,0.206973000000004,0.00153,0.00119,0,0.001194,0.555335999999996,0.973801000000063,0.964001000000063,0.000615,0.0558429999999999
45,1.02639671076967,0.044714,0,0.501300999999978,0,0.523085999999981,0.022731,0.219262000000004,0.002233,0.001498,0,0.001211,0.55169799999999,0.97800300000006,0.96870500000006,0.000627,0.0661359999999998
46,1.02751958877131,0.042679,3e-05,0.512392999999983,0,0.541259999999985,0.025191,0.238528000000005,0.002867,0.002034,0,0.00139,0.546517999999991,0.980929000000065,0.972147000000065,0.000526,0.0788599999999995
47,1.02870123629847,0.043346,6.7e-05,0.525228999999979,0,0.551699999999985,0.0271920000000001,0.243805000000005,0.003462,0.002545,0,0.002054,0.560725999999991,0.984003000000065,0.975991000000066,0.000725,0.0948969999999996
48,1.0298677835005,0.048334,0,0.537677999999991,0,0.565666999999993,0.0300440000000001,0.262955000000003,0.004477,0.003436,0,0.003409,0.560907999999996,0.984911000000051,0.976742000000056,0.000555,0.109939999999999
49,1.03079363463792,0.048079,3.5e-05,0.553263999999988,0,0.578762999999993,0.0323630000000001,0.275050000000001,0.004615,0.004615,0,0.005522,0.561150999999991,0.988582000000067,0.980317000000067,0.00031,0.123870999999999
50,1.03191823049338,0.0477619999999999,0.000134,0.565063999999992,0,0.594345999999994,0.034753,0.293083999999999,0.005891,0.005664,0,0.007044,0.56404399999999,0.98941000000006,0.981087000000062,0.000467,0.137211
51,1.03322567089147,0.045242,0.000215,0.581548999999997,0,0.610753000000001,0.037279,0.319830999999998,0.00718100000000001,0.00679700000000001,0,0.007221,0.570487999999992,0.990996000000061,0.983305000000064,2e-04,0.152017000000001
52,1.03430849139463,0.043497,0.000267,0.594144999999998,9.6e-05,0.628509000000003,0.040279,0.340895999999995,0.008501,0.00983,0,0.008032,0.569484999999993,0.991212000000055,0.983565000000057,0.000201,0.165143000000001
53,1.03540796132104,0.0434809999999999,0.000466,0.601764999999999,6.6e-05,0.642119000000005,0.043354,0.354830999999991,0.010011,0.014093,0,0.009217,0.575762999999995,0.992372000000055,0.984231000000057,7.5e-05,0.182789000000002
54,1.03634604093406,0.045091,0.000401,0.617639000000006,0,0.649909000000008,0.0480999999999999,0.375276999999989,0.010654,0.016871,0,0.011687,0.581019,0.994284000000059,0.98692300000006,0.000217,0.205266000000003
