,PopRatio,KC,LC,aKC,Prol_KC,Diff_KC,preDiff_KC,pDC,iDC,M1,M2,Neutrophil,Th0,Th1,Th2,Th17,Th22,Treg,Fibroblast,Division,Death,ILC3
128,1.03910546156036,0.248211946502507,0.503365316333886,0.99999999999999,0.494799583609276,0.089263171465687,0.03417826718653,0.996748551686206,0.99999999999999,0.838420768329055,0.022696316618154,0.970425041242692,0.928007480699175,0.486638195260734,0,0.561335118468078,0.555755122227191,0.511990493801676,0.333116235856639,0.002314921347516,0.001457279737453,0.89185251879983
129,1.03999664164142,0.252299246109374,0.500233279044067,0.99999999999999,0.497494918421436,0.089689743876282,0.03481830560296,0.996935113802535,0.99999999999999,0.836029411844067,0.024308996438927,0.973487967792785,0.928868615322586,0.489330477867023,0,0.563995257391653,0.565085770514043,0.509696006526539,0.338328706956554,0.00232610353906,0.001821249829107,0.893479566828653
130,1.04052168780428,0.247121646588965,0.496147060950631,0.999999999999991,0.496536873789341,0.090108657178276,0.034615494187846,0.996743012052917,0.999999999999991,0.834067010484281,0.02638347014548,0.975220406622161,0.932979332685483,0.493801117210754,0,0.566885384183442,0.56896869767726,0.507886892033062,0.340528133202712,0.00246964763375,0.001463649204553,0.896802209567501
131,1.04156845098775,0.248476508555659,0.493917037915407,0.999999999999989,0.499271529438412,0.091163111230774,0.034192477244045,0.996670277457923,0.999999999999989,0.834951576173574,0.027430827500776,0.975711951467681,0.934274841084025,0.496939269855665,0,0.567044496991027,0.568532569603575,0.505391549432411,0.34714213498075,0.001681966577396,0.001277326678616,0.900936694222468
132,1.04198991114032,0.243542179454017,0.487725551909353,0.99999999999999,0.511112067351932,0.089962576087663,0.038647100635274,0.996602636991221,0.99999999999999,0.838310483940976,0.027866666666667,0.974899934340905,0.938197602979986,0.504219762428345,0,0.570607921134892,0.576005432034944,0.499481811435844,0.357918337744228,0.002335002632038,0.001046975593741,0.903290870145764
133,1.04333202231949,0.237741545568455,0.478617903507912,0.999999999999988,0.519952984070804,0.093390211077728,0.039198322580562,0.996828628952629,0.999999999999988,0.84363756347632,0.028168341409539,0.97481605361864,0.940721855760252,0.520190346128929,0,0.589899179042708,0.587867828339097,0.492923662269107,0.368004856896878,0.001989220007097,0.001453351182551,0.907063609675286
134,1.04389111142389,0.235061273915863,0.474159269929574,0.999999999999987,0.535485623263621,0.096599073013314,0.040828531627588,0.996707153434423,0.999999999999987,0.850420117764302,0.028763868964592,0.975219509451441,0.94468085712194,0.538399808004122,0,0.600171830100527,0.602169812114818,0.49147130801672,0.380854983452634,0.002487559852938,0.001980347937645,0.911356917257091
135,1.04442058543386,0.238117395678094,0.472467962109248,0.999999999999991,0.536511148007744,0.099588913100409,0.041531509417528,0.996929251961706,0.999999999999991,0.852008396087705,0.029506139545068,0.976933403743949,0.945860567572816,0.540668110569957,0,0.602982538146782,0.608619840755511,0.491326445714606,0.383386197789879,0.002612735742622,0.001474779687721,0.911735689720221
136,1.04560368722096,0.231698171907188,0.472023271963159,0.999999999999991,0.543692135540548,0.098784604003752,0.040078395273364,0.996553593256783,0.999999999999991,0.848463894427796,0.028514859121239,0.980061676293487,0.949636150106248,0.5470139827093,0,0.613175349587334,0.618531642525821,0.49115124873777,0.388864214520809,0.003628625489626,0.001329878908567,0.915336025109646
137,1.04800726512209,0.229133379658479,0.473304175635696,0.99999999999999,0.550983616511662,0.101478139551368,0.040851113983119,0.996729960555585,0.99999999999999,0.848857245267655,0.026656448929613,0.979694923276436,0.952630711588521,0.562117767809947,0,0.616496491322776,0.622823104210772,0.492472446126788,0.389586058427391,0.002725264656605,0.001935396468274,0.920607518992182
138,1.04883505272194,0.223661898999376,0.470940215668431,0.999999999999991,0.55840870929395,0.09925490462209,0.040466355574288,0.996867021306159,0.999999999999991,0.85218999260516,0.025157537208753,0.977952146078375,0.953216316250558,0.579638489337736,0,0.629794570694551,0.628272216593772,0.489633561727217,0.397430194072356,0.002385673349951,0.001705079964525,0.922599740231968
139,1.04954888292121,0.219042665323114,0.473800558218261,0.999999999999988,0.56059479558938,0.100847184392787,0.039110500220159,0.996692701846767,0.999999999999988,0.858722348086751,0.023393611577264,0.980071457356283,0.956228310616537,0.592783528445088,0,0.636911172405602,0.635085560598186,0.494892193122584,0.402973448840994,0.002241790971024,0.001466344400169,0.921688538389071
140,1.05036275200341,0.216646928064429,0.474569270180262,0.999999999999991,0.561144280506605,0.102129317589953,0.04021590120412,0.996729240521801,0.999999999999991,0.861148729416044,0.025006796302461,0.97875693775962,0.957963424705987,0.5963445889247,0,0.641180667038428,0.644160550679999,0.495704803052083,0.408181930193624,0.003108592238248,0.001453785489083,0.924058315715012
141,1.05210089937448,0.213604575825372,0.468984664694134,0.999999999999992,0.568020818806294,0.101228802182564,0.040999298147811,0.99676151231978,0.999999999999992,0.860142415012765,0.026283544663661,0.979361036021593,0.961488816098778,0.60071528197165,0,0.644937487558017,0.645906987048596,0.490874869944468,0.421260460973218,0.002692162481319,0.001859580240674,0.926125939836977
142,1.05297685989866,0.214210984009736,0.469901178972806,0.99999999999999,0.577972589573198,0.100768064917085,0.043625162197898,0.996644256951765,0.99999999999999,0.866785853269073,0.0272,0.980302024217738,0.9624687406509,0.608268438328271,0,0.661477179723803,0.649358740177868,0.491904027437368,0.431022184086068,0.003213373072941,0.001729681291275,0.931866510089785
143,1.05446895455464,0.210928415108225,0.463761766297395,0.999999999999985,0.575319354320809,0.100268624189596,0.045423808349518,0.996396919180627,0.999999999999985,0.870484323254867,0.026938409179576,0.982216573768349,0.963210616176945,0.616683249470561,0,0.665738296713129,0.655641342647425,0.487726141324494,0.430696209080771,0.002766368109193,0.001514751730738,0.935512172328871
144,1.05578874516872,0.211029928868523,0.463858622987663,0.999999999999992,0.583668585432295,0.099612332748475,0.046591330797965,0.996640612646051,0.999999999999992,0.868509156761897,0.030005181767927,0.981725455675618,0.965774425164159,0.618665602454357,0,0.668654668170844,0.659170233985079,0.486715471564673,0.438580195202071,0.001981981799822,0.001723377941067,0.937035434936184
145,1.05606177621224,0.210481352168092,0.461553341686579,0.999999999999992,0.579904299245304,0.099786358052471,0.04510012048823,0.99675153819414,0.999999999999992,0.868192898787963,0.031340182086335,0.980900821663392,0.966247914023553,0.617805688651313,0,0.672921835814903,0.658546186639868,0.487377123740681,0.438986348158349,0.002435588579509,0.00130477708507,0.93897461027881
